hrhhid2,gestfips,hefaminc,hwhhwgt,helaptop,hedesktp,hetablet,hemphone,heinhome
15011,13,11,4700.7881,1,2,2,1,1
15011,13,15,4188.2825,1,2,1,1,1
15011,13,7,4143.979,1,2,2,2,1
16011,13,14,4062.3912,1,2,2,1,1
16011,13,9,4418.8801,2,2,2,2,2
16011,13,1,4080.3989,1,2,1,1,1
16011,13,11,3288.3604,1,2,2,1,1
16011,13,12,4492.9619,1,1,2,1,1
16011,13,16,3526.0349,1,2,1,1,1
16011,13,13,4601.0223,1,1,1,1,1
16011,13,15,5528.5491,1,1,1,1,1
16011,13,9,4939.1305,2,2,2,2,2
15012,13,3,8076.2061,2,2,2,1,2
15011,13,10,4577.7976,2,2,2,1,1
16012,13,12,4584.9313,1,2,2,1,1
16011,13,13,5250.9503,1,2,1,1,1
16011,13,2,4569.4685,2,2,1,1,1
15011,13,4,3888.0755,2,2,2,1,1
15012,13,13,5089.5452,1,2,1,1,1
15011,13,11,4955.4126,1,2,1,1,1
15011,13,7,5029.091,1,1,1,1,1
15011,13,4,4302.5404,1,2,1,1,1
16011,13,10,3634.0218,2,2,1,1,1
15011,13,9,5545.1392,1,2,2,1,1
15011,13,10,4251.6379,2,1,1,1,1
16011,13,14,4107.1337,2,1,2,1,1
15011,21,6,3206.286,2,2,2,1,2
16011,21,14,3286.4818,1,1,2,1,1
16011,21,13,3119.4412,1,2,2,1,1
16011,21,13,3773.8075,2,2,2,1,1
