hrhhid2,gestfips,prtage,pesex,peeduca,hefaminc,pemlr,ptdtrace,pwsswgt,pwprmwgt,pelaptop,pedesktp,petablet,pemphone,peinhome
15011,10,27,1,44,16,1,1,1262.2721,0,1,1,2,1,1
15011,10,73,2,43,2,5,1,665.1802,1003.6798,1,2,1,1,1
15011,10,85,1,39,6,1,1,639.3969,0,2,2,2,2,2
15011,10,78,2,42,13,5,1,676.2677,0,1,1,2,1,1
15011,10,80,1,43,13,5,1,667.5055,1056.5275,1,2,2,1,1
16011,10,66,2,43,9,1,2,780.8129,1120.3212,1,2,2,1,1
16011,10,73,1,44,13,5,1,794.907,1258.1786,2,1,2,1,1
16011,10,50,1,40,11,1,2,968.715,1864.9729,1,1,2,1,1
16011,10,48,2,42,11,1,2,797.1962,0,1,1,2,1,1
16011,10,11,2,-1,11,-1,2,975.8595,0,2,1,2,2,2
16011,10,76,2,39,8,5,4,776.3109,1443.8539,1,2,1,1,1
16011,10,48,2,39,15,1,1,690.9415,1462.7447,1,2,2,1,1
16011,10,57,1,39,15,6,2,964.3481,0,2,2,2,1,1
16011,10,13,1,-1,15,-1,6,1179.1995,0,1,2,2,1,1
16011,10,71,1,44,14,5,1,822.4691,0,2,1,1,1,1
16011,10,72,2,39,14,5,1,694.1855,1047.4455,1,2,1,1,1
16011,10,71,2,40,10,4,1,652.9075,985.1617,1,1,1,1,1
16011,10,74,1,40,15,5,2,884.1875,1455.9919,2,1,2,1,1
16011,10,73,2,44,15,1,2,821.2456,0,1,1,2,1,1
16011,10,44,1,40,15,1,2,953.0401,0,1,1,2,1,1
16011,10,40,2,40,15,7,2,1069.8668,0,1,1,2,1,1
16011,10,10,2,-1,15,-1,2,795.7398,0,2,1,2,2,2
16011,10,9,2,-1,15,-1,2,793.2075,0,2,1,2,2,2
16011,10,44,2,43,16,1,1,892.7769,0,1,2,1,1,1
16011,10,44,1,45,16,1,1,1031.7154,1895.1629,1,2,1,1,1
16011,10,9,1,-1,16,-1,1,868.0762,0,2,2,2,2,1
16011,10,5,1,-1,16,-1,1,739.8509,0,2,2,2,2,1
16011,10,58,2,42,13,1,1,731.9075,0,1,2,2,1,1
16011,10,58,1,42,13,4,1,764.9352,0,1,2,2,1,1
16011,10,22,1,43,13,1,1,1291.8931,4214.4624,2,2,1,1,1
16011,10,53,1,42,13,1,2,811.5851,0,2,2,1,1,1
16011,10,19,2,40,13,1,2,723.1715,2034.3368,1,1,2,1,1
16011,10,47,2,39,13,7,2,837.8818,0,1,1,2,1,1
16011,10,85,2,39,13,5,1,663.7904,0,2,2,2,1,1
16011,10,80,1,44,13,5,1,655.1899,1037.0344,2,2,2,1,1
16011,10,26,1,43,16,1,1,1090.747,1997.6203,1,2,2,1,1
16011,10,29,2,44,16,1,1,1031.2448,0,1,2,2,1,1
16011,10,64,2,39,12,1,2,809.7285,0,1,2,1,1,1
16011,10,80,2,38,12,5,2,709.7638,1018.379,2,2,1,1,1
16011,10,24,1,39,12,1,2,785.022,0,2,2,2,1,1
16011,10,42,2,39,10,1,2,655.9326,1092.0757,2,2,2,1,1
16011,10,71,2,41,9,5,2,780.8129,1120.3212,1,2,1,1,1
16011,10,38,2,39,4,7,2,724.6757,1206.5275,1,2,2,2,1
16011,10,14,2,-1,4,-1,2,1092.4463,0,2,2,1,2,1
15011,10,85,2,40,15,5,1,700.7573,1057.3615,1,1,1,1,1
15011,10,75,2,44,13,5,1,588.5559,0,1,2,1,1,1
15011,10,77,1,42,13,5,1,759.7216,1202.4871,1,2,1,1,1
15011,10,24,2,43,13,1,1,1048.9892,3541.7282,1,1,2,1,1
16011,10,67,2,40,16,5,1,692.9502,1045.5815,1,2,1,1,1
16011,10,60,1,42,16,5,1,641.9705,0,1,2,1,1,1
16011,10,67,2,41,14,5,1,692.9502,1045.5815,1,1,1,1,1
16011,10,66,1,41,14,5,1,615.8625,0,1,1,1,1,1
16011,10,71,1,43,16,5,1,642.1983,1016.4713,1,1,1,1,1
16011,10,71,2,44,16,5,1,757.2071,0,1,1,1,1,1
16011,10,76,1,39,16,5,1,627.5999,993.3649,1,1,1,1,1
16011,10,71,2,43,16,5,1,757.2071,0,1,1,2,1,1
16011,10,74,2,36,6,5,2,821.2456,1178.3346,2,2,1,1,1
16011,10,63,2,39,9,1,1,821.5167,0,2,2,2,2,2
16011,10,80,1,39,9,1,1,627.5999,0,2,2,2,2,2
16011,10,85,1,40,10,5,1,655.1899,1037.0344,1,1,1,1,1
16011,10,27,1,46,9,1,2,878.8387,1532.539,1,2,2,1,1
16011,10,77,2,38,6,5,1,687.8282,1037.853,2,2,1,1,1
16011,10,78,2,38,6,5,1,687.8282,0,2,2,1,1,1
15011,11,31,2,44,16,1,1,396.3916,759.0938,1,2,1,1,1
15011,11,33,1,44,16,1,1,429.8239,0,1,2,2,1,1
15011,11,31,2,45,16,1,1,396.3916,759.0938,1,2,1,1,1
15011,11,38,1,45,15,1,1,431.5938,0,1,2,2,1,1
15011,11,36,2,43,15,1,1,347.6372,665.2734,1,2,2,1,1
15011,11,32,2,43,15,1,1,396.3916,759.0938,1,2,1,1,1
15011,11,67,2,39,8,5,2,498.2685,714.9226,1,2,2,1,1
15011,11,63,1,39,8,5,2,867.9,0,1,2,1,1,1
15012,11,53,1,44,16,1,1,658.9151,1236.9568,1,2,1,1,1
15011,11,33,2,43,14,1,2,954.0815,1649.6964,1,2,1,1,1
15011,11,3,2,-1,14,-1,2,761.8368,0,2,2,1,2,1
15011,11,58,1,39,15,1,2,867.9,1315.0603,2,2,1,1,1
15011,11,62,2,39,15,1,2,601.3712,0,2,2,1,1,1
15011,11,73,1,44,16,5,1,627.9345,993.8945,1,2,1,1,1
15011,11,28,1,45,16,1,1,497.7813,0,1,2,2,1,1
15011,11,29,2,43,16,1,1,461.2048,883.2118,1,2,2,1,1
15011,11,67,2,40,1,6,1,304.2833,459.1282,1,2,2,1,1
15011,11,70,2,40,11,5,1,294.6435,444.5829,1,2,2,1,1
